profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,record_type_machine_name,field_machine_name
bonsai_6-0-0,Object,Associated cultural affinity,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocCulturalContext
bonsai_6-0-0,Object,Associated cultural affinity type,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocCulturalContextType
bonsai_6-0-0,Object,Associated cultural affinity note,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocCulturalContextNote
bonsai_6-0-0,Object,Associated organization,Object History and Association Information,Associations,string,n,n,y,authority,organization/local,"",collectionobject,assocOrganization
bonsai_6-0-0,Object,Associated organization type,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocOrganizationType
bonsai_6-0-0,Object,Associated organization note,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocOrganizationNote
bonsai_6-0-0,Object,Associated people,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocPeople
bonsai_6-0-0,Object,Associated people type,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocPeopleType
bonsai_6-0-0,Object,Associated people note,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocPeopleNote
bonsai_6-0-0,Object,Associated person,Object History and Association Information,Associations,string,n,n,y,authority,person/local,"",collectionobject,assocPerson
bonsai_6-0-0,Object,Associated person type,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocPersonType
bonsai_6-0-0,Object,Associated person note,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocPersonNote
bonsai_6-0-0,Object,Associated place,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocPlace
bonsai_6-0-0,Object,Associated place type,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocPlaceType
bonsai_6-0-0,Object,Associated place note,Object History and Association Information,Associations,string,n,n,y,"","","",collectionobject,assocPlaceNote
bonsai_6-0-0,Object,Associated event,Object History and Association Information,Associations,string,n,n,n/a,"","","",collectionobject,assocEventName
bonsai_6-0-0,Object,Associated event type,Object History and Association Information,Associations > Associated event,string,n,n,n/a,"","","",collectionobject,assocEventNameType
bonsai_6-0-0,Object,Associated event organization,Object History and Association Information,Associations,string,n,y,n,authority,organization/local,"",collectionobject,assocEventOrganization
