profile,record_type,field,record_section,path_to_field,data_type,required,repeats,group_repeats,data_source_type,data_source_name,option_list_values,record_type_machine_name,field_machine_name
core_9-0-0,Object,Object component name,Object Description Information,"",string,n,n,y,option list,objectComponentNames,"blade, buttonhole, handle, sleeve",collectionobject,objectComponentName
core_9-0-0,Object,Object component information,Object Description Information,"",string,n,n,y,"","","",collectionobject,objectComponentInformation
core_9-0-0,Object,Technical attribute,Object Description Information,"",string,n,n,y,option list,technicalAttributes,"magnetic-tape-type, record-speed",collectionobject,technicalAttribute
core_9-0-0,Object,Technical attribute measurement,Object Description Information,"",string,n,n,y,option list,technicalAttributeMeasurements,"78, metal",collectionobject,technicalAttributeMeasurement
core_9-0-0,Object,Technical attribute measurement unit,Object Description Information,"",string,n,n,y,option list,technicalAttributeMeasurementUnits,rpm,collectionobject,technicalAttributeMeasurementUnit
core_9-0-0,Object,Measured part,Object Description Information,"",string,n,n,y,option list,measuredParts,"base, frame, framed, image-size, mount, paper-size, plate-size, unframed",collectionobject,measuredPart
core_9-0-0,Object,Dimension summary,Object Description Information,"",string,n,n,y,"","","",collectionobject,dimensionSummary
core_9-0-0,Object,Measurement dimension,Object Description Information,"",string,n,n,y,option list,dimensions,"area, base, circumference, count, depth, diameter, height, intended duration, length, running-time, screen resolution, target, volume, weight, width",collectionobject,dimension
core_9-0-0,Object,Measured by,Object Description Information,"",string,n,n,y,authority,person/local; organization/local,"",collectionobject,measuredBy
core_9-0-0,Object,Measurement method,Object Description Information,"",string,n,n,y,option list,measurementMethods,"balance_beam_scale, electronic_distance_measurement, goniometer, hydraulic_or_pneumatic_scale, measuring_tape_cloth, measuring_tape_metal, microscopy_reticule, odometer, optical_range_finder, osteometric_board, pacing_pedometer, protractor, ruler, sliding_calipers, spreading_calipers, spring_scale, stadia_transit, standard_mesh_screen, taping_chaining, theodolite_total_station",collectionobject,measurementMethod
core_9-0-0,Object,Measurement value,Object Description Information,"",float,n,n,y,"","","",collectionobject,value
core_9-0-0,Object,Measurement unit,Object Description Information,"",string,n,n,y,option list,measurementUnits,"carats, centimeters, cubic-centimeters, dpi, feet, hours, inches, kilograms, liters, meters, millimeters, milliseconds, minutes, ounces, pixels, pounds, ppi, seconds, square-feet, stories, tons",collectionobject,measurementUnit
core_9-0-0,Object,Measurement qualifier,Object Description Information,"",string,n,n,y,"","","",collectionobject,valueQualifier
core_9-0-0,Object,Measurement date,Object Description Information,"",date,n,n,y,"","","",collectionobject,valueDate
core_9-0-0,Object,Dimension note,Object Description Information,"",string,n,n,y,"","","",collectionobject,measuredPartNote
core_9-0-0,Object,Content description,Object Description Information,Content,string,n,n,n/a,"","","",collectionobject,contentDescription
core_9-0-0,Object,Content language,Object Description Information,Content,string,n,y,n,vocabulary,languages,"",collectionobject,contentLanguage
core_9-0-0,Object,Content activity,Object Description Information,Content,string,n,y,n,"","","",collectionobject,contentActivity
core_9-0-0,Object,Content concept,Object Description Information,Content,string,n,y,n,authority,concept/associated; concept/material,"",collectionobject,contentConcept
core_9-0-0,Object,Content date,Object Description Information,Content,structured date group,n,n,n/a,"","","",collectionobject,contentDateGroup
core_9-0-0,Object,Content position,Object Description Information,Content,string,n,y,n,option list,positions,"back, base, bottom, front, inside, left, outside, recto, right, rim, top, verso",collectionobject,contentPosition
core_9-0-0,Object,Content object name,Object Description Information,Content,string,n,n,y,"","","",collectionobject,contentObject
core_9-0-0,Object,Content object type,Object Description Information,Content,string,n,n,y,option list,contentObjectTypes,"food, furniture",collectionobject,contentObjectType
core_9-0-0,Object,Content people,Object Description Information,Content,string,n,y,n,"","","",collectionobject,contentPeople
core_9-0-0,Object,Content person,Object Description Information,Content,string,n,y,n,authority,person/local; person/ulan,"",collectionobject,contentPerson
core_9-0-0,Object,Content place,Object Description Information,Content,string,n,y,n,"","","",collectionobject,contentPlace
core_9-0-0,Object,Content script,Object Description Information,Content,string,n,y,n,option list,scripts,"carolingian-miniscule, gothic-script, palmer-method, roman-cursive, rustic-capitals, spencerian-method, square-capitals",collectionobject,contentScript
core_9-0-0,Object,Content organization,Object Description Information,Content,string,n,y,n,authority,organization/local; organization/ulan,"",collectionobject,contentOrganization
core_9-0-0,Object,Content event name,Object Description Information,Content,string,n,n,y,"","","",collectionobject,contentEventName
core_9-0-0,Object,Content event type,Object Description Information,Content,string,n,n,y,"","","",collectionobject,contentEventNameType
core_9-0-0,Object,Content controlled event or period/era,Object Description Information,Content,string,n,y,n,authority,chronology/event; chronology/era,"",collectionobject,contentEvent
